"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed20000","n_total"
"442","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","22",29.1,2.9,8.3,20.4,291,29,83,204,1000
"443","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","23",32,3.2,9.5,22.8,320,32,95,228,1000
"444","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","24",35.2,3.2,10.3,24.2,352,32,103,242,1000
"445","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","25",38.1,3.8,11.4,26.4,381,38,114,264,1000
"446","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","26",40.2,4.4,12.3,28.8,402,44,123,288,1000
"447","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","27",43.2,4.6,13.3,31.2,432,46,133,312,1000
"448","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","28",46.3,5,14.4,33.3,463,50,144,333,1000
"449","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","29",47.8,5.6,15.1,34.8,478,56,151,348,1000
"450","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","30",50.4,6.1,16.7,37.7,504,61,167,377,1000
"451","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","31",51.5,6.7,18.5,40.2,515,67,185,402,1000
"452","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","32",53.6,7.4,19.5,43.8,536,74,195,438,1000
"453","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","33",56.7,7.8,20.9,45.8,567,78,209,458,1000
"454","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","34",59.1,8.1,21.6,47.3,591,81,216,473,1000
"455","TB_BestPPCVSL436_CT","TB","BestPPCVSL436","CT","35",60.9,8.6,22.4,48.7,609,86,224,487,1000
"456","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","1",0,0,0,0,0,0,0,0,1000
"457","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","2",0,0,0,0,0,0,0,0,1000
"458","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","3",0,0,0,0,0,0,0,0,1000
"459","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","4",0.2,0,0,0,2,0,0,0,1000
"460","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","5",0.6,0,0,0.3,6,0,0,3,1000
"461","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","6",1.1,0,0,0.7,11,0,0,7,1000
"462","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","7",1.5,0.2,0.5,0.9,15,2,5,9,1000
"463","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","8",2.3,0.3,0.6,1.4,23,3,6,14,1000
"464","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","9",3.3,0.4,0.7,1.8,33,4,7,18,1000
"465","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","10",4.6,0.5,0.9,2.8,46,5,9,28,1000
"466","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","11",6.1,0.5,1.1,3.3,61,5,11,33,1000
"467","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","12",7.8,0.7,1.6,4.1,78,7,16,41,1000
"468","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","13",9.2,0.9,1.8,5.2,92,9,18,52,1000
"469","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","14",10.5,0.9,2.1,7.3,105,9,21,73,1000
"470","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","15",12.7,1,2.2,8.6,127,10,22,86,1000
"471","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","16",15.1,1,3.4,9.4,151,10,34,94,1000
"472","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","17",17.4,1.6,4.6,10.7,174,16,46,107,1000
"473","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","18",19.4,2.1,5.2,13.5,194,21,52,135,1000
"474","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","19",21.6,2.3,6.2,15.7,216,23,62,157,1000
"475","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","20",24.9,2.5,7.2,17.2,249,25,72,172,1000
"476","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","21",26.7,2.7,7.8,18.2,267,27,78,182,1000
"477","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","22",29.1,2.9,8.3,20.4,291,29,83,204,1000
"478","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","23",32,3.2,9.5,22.8,320,32,95,228,1000
"479","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","24",35.2,3.2,10.3,24.2,352,32,103,242,1000
"480","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","25",38.1,3.8,11.4,26.4,381,38,114,264,1000
"481","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","26",40.2,4.4,12.3,28.8,402,44,123,288,1000
"482","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","27",43.2,4.6,13.3,31.2,432,46,133,312,1000
"483","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","28",46.3,5,14.4,33.3,463,50,144,333,1000
"484","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","29",47.8,5.6,15.1,34.8,478,56,151,348,1000
"485","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","30",50.4,6.1,16.7,37.7,504,61,167,377,1000
"486","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","31",51.5,6.7,18.5,40.2,515,67,185,402,1000
"487","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","32",53.6,7.4,19.5,43.8,536,74,195,438,1000
"488","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","33",56.7,7.8,20.9,45.8,567,78,209,458,1000
"489","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","34",59.1,8.1,21.6,47.3,591,81,216,473,1000
"490","TB_BestPPCVSL436_LT","TB","BestPPCVSL436","LT","35",60.9,8.6,22.4,48.7,609,86,224,487,1000
"491","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","1",0,0,0,0,0,0,0,0,1000
"492","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","2",0.7,0,0,0,7,0,0,0,1000
"493","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","3",13.3,0,1,5.7,133,0,10,57,1000
"494","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","4",19.6,11.5,12.1,14.5,196,115,121,145,1000
"495","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","5",24.5,12.7,14.2,19.6,245,127,142,196,1000
"496","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","6",26.3,15.2,17.7,23.6,263,152,177,236,1000
"497","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","7",26.7,19.4,21.1,25.9,267,194,211,259,1000
"498","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","8",26.9,22.5,24.6,26.7,269,225,246,267,1000
"499","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","9",27.2,25.2,26.2,26.8,272,252,262,268,1000
"500","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","10",28.2,26.4,26.7,27.2,282,264,267,272,1000
"501","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","11",29.2,26.7,26.7,27.3,292,267,267,273,1000
"502","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","12",32.4,26.7,26.9,27.6,324,267,269,276,1000
"503","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","13",36.5,26.9,27.2,28.7,365,269,272,287,1000
"504","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","14",42.2,27.2,27.6,30.4,422,272,276,304,1000
"505","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","15",49.1,27.6,27.9,33,491,276,279,330,1000
"506","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","16",53.5,27.9,27.9,38.6,535,279,279,386,1000
"507","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","17",60.2,28,28.2,43.7,602,280,282,437,1000
"508","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","18",64.1,28.1,28.6,49.1,641,281,286,491,1000
"509","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","19",66.3,28.2,29.4,54.4,663,282,294,544,1000
"510","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","20",67.6,28.4,30.8,60,676,284,308,600,1000
"511","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","21",68.4,29,33.3,63,684,290,333,630,1000
"512","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","22",69.4,29.9,36.8,66.1,694,299,368,661,1000
"513","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","23",70.6,31.3,40.3,67.3,706,313,403,673,1000
"514","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","24",71.6,32.6,44.7,68.3,716,326,447,683,1000
"515","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","25",72.9,33.7,48.4,69.7,729,337,484,697,1000
"516","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","26",73.1,34.7,51.6,71.4,731,347,516,714,1000
"517","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","27",73.5,35.3,53.7,72.1,735,353,537,721,1000
"518","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","28",73.5,35.8,55.2,73.1,735,358,552,731,1000
"519","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","29",73.7,36.5,57.2,73.4,737,365,572,734,1000
"520","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","30",73.7,37.8,58.3,73.5,737,378,583,735,1000
"521","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","31",73.7,38.8,59.6,73.7,737,388,596,737,1000
"522","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","32",73.7,40,59.9,73.7,737,400,599,737,1000
"523","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","33",73.7,40.2,60,73.7,737,402,600,737,1000
"524","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","34",73.7,40.6,60.2,73.7,737,406,602,737,1000
"525","TB_MeanSpoilType_CT","TB","MeanSpoilType","CT","35",73.7,40.6,60.2,73.7,737,406,602,737,1000
"526","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","1",0.2,0,0,0,2,0,0,0,1000
"527","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","2",0.8,0.4,0.4,0.7,8,4,4,7,1000
"528","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","3",3.3,0.9,1.2,1.8,33,9,12,18,1000
"529","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","4",6.4,2.2,2.6,4.1,64,22,26,41,1000
"530","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","5",9.3,4.2,5,7.8,93,42,50,78,1000
"531","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","6",11.9,6.7,7.3,9.3,119,67,73,93,1000
"532","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","7",14.8,8.2,9.2,11.4,148,82,92,114,1000
"533","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","8",17.4,9.7,10.8,13.7,174,97,108,137,1000
"534","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","9",20.1,11.4,12.2,15.9,201,114,122,159,1000
"535","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","10",22.5,12.7,13.8,18.2,225,127,138,182,1000
"536","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","11",24,14,15.2,19.3,240,140,152,193,1000
"537","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","12",25.2,15.3,17,21.5,252,153,170,215,1000
"538","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","13",26.3,16.7,17.8,23.2,263,167,178,232,1000
"539","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","14",28,17.3,19.1,24.3,280,173,191,243,1000
"540","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","15",29.5,18.3,20.3,25.4,295,183,203,254,1000
"541","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","16",31.3,19.3,21.2,26.2,313,193,212,262,1000
"542","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","17",32.7,19.9,22.2,28.3,327,199,222,283,1000
"543","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","18",33.6,20.7,23,30.1,336,207,230,301,1000
"544","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","19",34.9,21.2,24.2,31,349,212,242,310,1000
"545","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","20",36.8,21.9,25.2,32.3,368,219,252,323,1000
"546","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","21",37.8,22.2,26.1,33,378,222,261,330,1000
"547","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","22",38.7,23,27,34.4,387,230,270,344,1000
"548","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","23",40.2,23.7,28,35.4,402,237,280,354,1000
"549","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","24",41.7,24,28.5,36.3,417,240,285,363,1000
"550","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","25",43.2,24.5,29.2,37.6,432,245,292,376,1000
"551","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","26",44.3,25.1,29.6,38.7,443,251,296,387,1000
"552","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","27",45.7,25.2,30.3,39.9,457,252,303,399,1000
"553","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","28",47.5,25.6,31,41.2,475,256,310,412,1000
"554","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","29",47.8,26.1,31.6,41.8,478,261,316,418,1000
"555","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","30",48.8,26.5,32.6,43.1,488,265,326,431,1000
"556","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","31",49.3,27,33.5,44.4,493,270,335,444,1000
"557","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","32",50.4,27.4,34.2,46,504,274,342,460,1000
"558","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","33",51.7,27.8,34.7,47.1,517,278,347,471,1000
"559","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","34",52.8,28,35.2,47.7,528,280,352,477,1000
"560","TB_MeanSpoilType_LT","TB","MeanSpoilType","LT","35",54.1,28.4,35.7,48.1,541,284,357,481,1000
"561","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","1",0,0,0,0,0,0,0,0,1000
"562","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","2",2,0,0,0,20,0,0,0,1000
"563","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","3",39.2,0.6,2.6,17.2,392,6,26,172,1000
"564","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","4",59,32.4,35.1,41.6,590,324,351,416,1000
"565","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","5",75.3,36.9,40,57.1,753,369,400,571,1000
"566","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","6",85,43.7,51.4,72,850,437,514,720,1000
"567","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","7",86,56.9,64.2,83.3,860,569,642,833,1000
"568","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","8",86.1,67.5,77,85.7,861,675,770,857,1000
"569","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","9",86.4,80.3,84.9,86.1,864,803,849,861,1000
"570","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","10",87,85.3,86,86.4,870,853,860,864,1000
"571","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","11",87.3,86,86,86.5,873,860,860,865,1000
"572","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","12",87.9,86,86.1,86.9,879,860,861,869,1000
"573","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","13",89,86.1,86.4,87.2,890,861,864,872,1000
"574","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","14",91,86.4,86.9,87.5,910,864,869,875,1000
"575","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","15",94.3,86.9,86.9,88.1,943,869,869,881,1000
"576","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","16",95.2,86.9,86.9,89.4,952,869,869,894,1000
"577","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","17",96.8,86.9,87,91.6,968,869,870,916,1000
"578","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","18",98,87,87.2,93.7,980,870,872,937,1000
"579","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","19",98.6,87.1,87.5,95.4,986,871,875,954,1000
"580","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","20",98.9,87.1,87.9,96.4,989,871,879,964,1000
"581","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","21",99,87.2,88.4,97.5,990,872,884,975,1000
"582","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","22",99.2,87.5,89.9,98.4,992,875,899,984,1000
"583","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","23",99.5,88.1,90.9,98.8,995,881,909,988,1000
"584","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","24",99.7,88.6,92.5,98.9,997,886,925,989,1000
"585","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","25",99.9,89.1,93.5,99.5,999,891,935,995,1000
"586","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","26",100,89.4,94.1,99.6,1000,894,941,996,1000
"587","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","27",100,89.5,94.9,99.7,1000,895,949,997,1000
"588","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","28",100,89.5,95.2,100,1000,895,952,1000,1000
"589","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","29",100,89.6,95.7,100,1000,896,957,1000,1000
"590","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","30",100,89.9,96,100,1000,899,960,1000,1000
"591","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","31",100,90.1,96.3,100,1000,901,963,1000,1000
"592","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","32",100,90.3,96.3,100,1000,903,963,1000,1000
"593","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","33",100,90.4,96.3,100,1000,904,963,1000,1000
"594","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","34",100,90.4,96.3,100,1000,904,963,1000,1000
"595","TB_WorstPPCVSL434_CT","TB","WorstPPCVSL434","CT","35",100,90.4,96.3,100,1000,904,963,1000,1000
"596","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","1",0.6,0,0,0.3,6,0,0,3,1000
"597","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","2",2.6,1.1,1.4,2,26,11,14,20,1000
"598","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","3",9.6,2.6,3.4,5.4,96,26,34,54,1000
"599","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","4",18.1,6.4,7.2,12.3,181,64,72,123,1000
"600","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","5",28.4,11.6,13.7,19.6,284,116,137,196,1000
"601","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","6",37.2,17.9,19.1,28.2,372,179,191,282,1000
"602","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","7",44.8,22.9,25.6,35.1,448,229,256,351,1000
"603","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","8",50.7,28.3,32.4,40.7,507,283,324,407,1000
"604","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","9",56,34.2,36.7,46.7,560,342,367,467,1000
"605","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","10",58.9,37.3,40.6,51.7,589,373,406,517,1000
"606","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","11",62.9,41.1,45.1,54.9,629,411,451,549,1000
"607","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","12",66.4,45.5,49.7,58.1,664,455,497,581,1000
"608","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","13",68.6,49.5,52.8,60.9,686,495,528,609,1000
"609","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","14",71.4,52.5,55.4,64.3,714,525,554,643,1000
"610","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","15",73.3,54.7,58.1,66.8,733,547,581,668,1000
"611","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","16",75.2,57.5,60.8,68.4,752,575,608,684,1000
"612","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","17",76.1,59.6,62.7,70.8,761,596,627,708,1000
"613","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","18",77.4,61,64.8,72.5,774,610,648,725,1000
"614","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","19",78,63.2,66.8,74.9,780,632,668,749,1000
"615","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","20",78.9,65.3,68.2,75.7,789,653,682,757,1000
"616","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","21",79.8,66.6,69.7,76.4,798,666,697,764,1000
"617","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","22",80.3,67.5,71.1,77.7,803,675,711,777,1000
"618","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","23",81.2,69.1,72.5,78.5,812,691,725,785,1000
"619","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","24",81.9,70.3,74.2,78.6,819,703,742,786,1000
"620","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","25",82.9,71.7,74.9,79.1,829,717,749,791,1000
"621","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","26",83.9,73.4,75.7,80,839,734,757,800,1000
"622","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","27",84.4,73.9,76.3,80.7,844,739,763,807,1000
"623","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","28",85.1,74.4,77,81.3,851,744,770,813,1000
"624","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","29",85.8,74.8,77.6,82.1,858,748,776,821,1000
"625","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","30",86.3,75.4,77.8,83,863,754,778,830,1000
"626","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","31",86.5,75.7,78.4,83.5,865,757,784,835,1000
"627","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","32",86.7,76.4,78.9,84.4,867,764,789,844,1000
"628","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","33",87.5,76.6,79.3,84.6,875,766,793,846,1000
"629","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","34",88,76.7,79.5,85.1,880,767,795,851,1000
"630","TB_WorstPPCVSL434_LT","TB","WorstPPCVSL434","LT","35",88.1,77.1,80.1,85.6,881,771,801,856,1000
