"","scenario","Bactofuge","PPCFreq","Temp","day","per_exceed1000","per_exceed5mill","per_exceed1mill","per_exceed10mill","per_exceed20mill","per_exceed30mill","per_exceed40mill","per_exceed20000","n_exceed1000","n_exceed5mill","n_exceed1mill","n_exceed10mill","n_exceed20mill","n_exceed30mill","n_exceed40mill","n_exceed20000","n_total"
"14","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","14",12.7,0.9,2.2,0.9,0.9,0.5,0.9,8.4,127,9,22,9,9,5,5,84,1000
"15","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","15",14.8,1,2.8,1,1,0.5,1,9.2,148,10,28,10,10,5,5,92,1000
"16","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","16",17.8,1.4,4.3,1.1,1,0.6,1,10.6,178,14,43,11,10,6,6,106,1000
"17","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","17",19.5,1.9,5.2,1.7,1.4,0.7,1.4,13.3,195,19,52,17,14,7,7,133,1000
"18","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","18",22.3,2.3,6.1,2.2,1.9,1,1.9,15.4,223,23,61,22,19,10,10,154,1000
"19","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","19",25.4,2.5,6.7,2.3,2.3,1,2.3,17,254,25,67,23,23,10,10,170,1000
"20","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","20",27.8,2.6,7.7,2.5,2.4,1.1,2.4,18.1,278,26,77,25,24,11,11,181,1000
"21","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","21",30.2,2.9,8.3,2.7,2.6,1.3,2.6,20.5,302,29,83,27,26,13,13,205,1000
"22","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","22",33.5,3.2,9.5,3,2.9,1.7,2.9,23.1,335,32,95,30,29,17,15,231,1000
"23","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","23",36.1,3.2,10.4,3.2,3.1,1.9,3.1,24.6,361,32,104,32,31,19,18,246,1000
"24","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","24",39.7,3.8,11.3,3.4,3.2,1.9,3.2,26.6,397,38,113,34,32,19,19,266,1000
"25","MB_BestPPCVSL436_CT","MB","BestPPCVSL436","CT","25",41.9,4.3,12.4,4,3.6,2.1,3.6,29.5,419,43,124,40,36,21,19,295,1000
